City_code,City_name,Furikana,City_code_6_digit
47201,那覇市,なはし,472018
47205,宜野湾市,ぎのわんし,472051
47207,石垣市,いしがきし,472077
47208,浦添市,うらそえし,472085
47209,名護市,なごし,472093
47210,糸満市,いとまんし,472107
47211,沖縄市,おきなわし,472115
47212,豊見城市,とみぐすくし,472123
47213,うるま市,うるまし,472131
47214,宮古島市,みやこじまし,472140
47215,南城市,なんじょうし,472158
47301,国頭村,くにがみそん,473014
47302,大宜味村,おおぎみそん,473022
47303,東村,ひがしそん,473031
47306,今帰仁村,なきじんそん,473065
47308,本部町,もとぶちょう,473081
47311,恩納村,おんなそん,473111
47313,宜野座村,ぎのざそん,473138
47314,金武町,きんちょう,473146
47315,伊江村,いえそん,473154
47324,読谷村,よみたんそん,473243
47325,嘉手納町,かでなちょう,473251
47326,北谷町,ちゃたんちょう,473260
47327,北中城村,きたなかぐすくそん,473278
47328,中城村,なかぐすくそん,473286
47329,西原町,にしはらちょう,473294
47348,与那原町,よなばるちょう,473481
47350,南風原町,はえばるちょう,473502
47353,渡嘉敷村,とかしきそん,473537
47354,座間味村,ざまみそん,473545
47355,粟国村,あぐにそん,473553
47356,渡名喜村,となきそん,473561
47357,南大東村,みなみだいとうそん,473570
47358,北大東村,きただいとうそん,473588
47359,伊平屋村,いへやそん,473596
47360,伊是名村,いぜなそん,473600
47361,久米島町,くめじまちょう,473618
47362,八重瀬町,やえせちょう,473626
47375,多良間村,たらまそん,473758
47381,竹富町,たけとみちょう,473812
47382,与那国町,よなぐにちょう,473821
